tag;genero;especie;variedad
;Acalymma;thiemei;
;Acalymma;vittata;
Gorgojo  común  de  los frijoles;Acanthoscelides;obtectus;
Gorgojo pequeño de los frijoles;Acanthoscelides;sp.;
Mosca blanca;Acaudaleyrodes;rachipora;(Singh)
;Aceria;sheldoni;
;Acerophagus;notativentris;
;Achatina;fulica;Bowdich
;Acletoxenus;formosus;
;Aculops;lycopersici;
;Adalia;bipunctata;
;Aeolothrips;fasciatus;
;Aeolothrips;intermedius;
;Aeolothrips;tenuicornis;
;Ageniaspis;citricota;
cucarroncito aplanado;Ahasverus;advena;
Mosca blanca;Aleurodicus;dispersus;Russell
Mosca blanca;Aleurodicus;floccissimus;(Martin)
Mosca blanca;Aleurolobus;olivinus;(Silvestri)
Mosca blanca;Aleurothrixus;floccosus;(Maskell)
mosca blanca algodonosa;Aleurothryxus;floccosus;Maskellla
Mosca blanca;Aleurotrachelus;atratus;Hempel
Mosca blanca;Aleurotrachelus;rhamnicola;(Goux)
;Aleurotrachuelos;socialis;
Mosca blanca;Aleurotuba;jelinekii;(Frauenfeld)
Mosca blanca;Aleurotulus;nephrolepidis;(Quaintance)
Mosca blanca;Aleuroviggianus;adrianae;Iaccarino
Mosca blanca;Aleuroviggianus;polymorphus;Bink-Moenen
;Aleyroctonus;fuscipennis;
;Aleyroctonus;spiniferus;
Mosca blanca;Aleyrodes;bencomiae;Hernández-Suárez&Martin 
;Aleyrodes;brassicae;Walker
Mosca blanca;Aleyrodes;elevatus;Silvestri
Mosca blanca;Aleyrodes;laurisilvae;Hernández-Suárez&Martin 
mosca blanca de la col;Aleyrodes;proletella;(Linnaeus)
;Alternaria;solani;
;Ambliseius;cucumeris;
Araña Roja;Ambliseius;swirskii;
;Amblydromalus;limonicus;
;Amblyseius;andersoni;
Trips;Amblyseius;barkeri;
;Amblyseius;californicus;
;Amblyseius;cucumeris;
;Amblyseius;montdorensis;
;Amblyseius;spp.;
;Amedoria;misella;
;Ametastegia;glabrata;
;Amitus;fuscipennis;
;Amitus;spiniferus;Haldeman
Polilla del cacao;Anagasta;cautella;
Polilla  de  la  harina  del  Mediterráneo;Anagasta;kuehniella;
;Anagrus;epos;
;Anagrus;spp.;
;Anagyrus;pseudococci;
;Anaphes;iole;
;Ancylis;comptana;
;Androthips;flavipes;
;Anthocoris;nemoralis;
;Anthocoris;spp.;
picudo del algodón;Anthonomus;grandis;Boherman
;Anticarsia;gemmetalis;Hubner
;Antigostra;sp.;
Piojo rojo de California;Aonidiella;aurantii;Maskell
;Apanteles;glomeratus;
;Apanteles;hrrisinae;
;Apanteles;medicaginis;
;Aphelinus;abdominalis;Dalman
;Aphelinus;mali;Haldeman
;Aphidius;colemani;Viereck
;Aphidius;ervi;Haliday
;Aphidius;matricariae;Haliday
Pulgones;Aphidius;sp.;
;Aphidoletes;aphidimyza;Rondani
;Aphis;craccivora;
;Aphis;fabae;Scopoli
;Aphis;gossypii;Glover
;Aphis;spiraecola;Patch
;Aphobetus;moundi;(Boucek)
;Aphytis;chilensis;Howard
;Aphytis;chrysomphali;Mercet
;Aphytis;diaspidis;
;Aphytis;hispanicus;
;Aphytis;lepidosaphes;
;Aphytis;lignanensis;Compere
;Aphytis;masculicornis;Masi
;Aphytis;melinus;
;Aphytis;melinus;De Bach
;Aphytis;mytilaspidilis;Le Bar
;Aphytis;proclia;Walk
;Aprostocetus;ceroplastae;
Gorg.  cerezas  del café y del cacao;Araocerus;fasciculatus;
;Archytas;apicifer;
Piojo blanco;Aspidiotus;nerii;Bouché
Mosca blanca;Asterobemisia;carpini;(Koch)
Mosca blanca;Asterobemisia;paveli;(Zahradnik)
;Aulacorthum;solani;(Kaltenbach)
;Bacillius;thuringiensis;
;Bacillus;popilliae;
;Bacillus;sphaericus;
;Bathyplectes;israelensis;
;Bathyplectes;spp.;
;Bathyplectes;tenebrionis;
;Bathyplectes;thuringiensis;
;Beauveria;basiana;
Mosca blanca;Bemisia;afer;(Priesner&Hosny) 
Mosca blanca;Bemisia;euphorbiarum;Hernández-Suárez&Malumphy 
Mosca blanca;Bemisia;medinae;Gómez-Menor
Mosca blanca;Bemisia;reyesi;Hernández-Suárez&Martin 
mosca blanca del algodón/tabaco;Bemisia;tabaci;(Gennadius)
;Bombyx;mori;
;Bracon;gelechiae;
;Bracon;platynotae;
;Bradysia;sp.;
;Brevicoryne;brassicae;Linnaeus
Gorgojo de las arvejas y garbanzos;Bruchus;pisorum;
;Calepitrimerus;vitis;
;Cales;noacki;Howard
Gorgojo del fríjol almacenado;Callosobrochus;maculatus;
Gorgojo minador del maíz;Carpohilus;dimidiatus;
Gorgojo de los frijoles;Cartedes;sp.;
Gorgojo de las droguerías;Catarama;bibliophagun;
Gorgojo de las droguerías;Catarama;herbarium;
Gorgojo de las droguerías;Catarama;sp.;
Gorgojo de nuca cuadrada;Cathartus;quadricollis;
;Cephus;cintus;
;Ceranisus;americensis;
;Ceranisus;lepidotus;
;Ceranisus;menes;
;Ceranisus;platinianus;
;Ceranisus;ruselli;
;Ceranisus;spp.;
mosca de la fruta;Ceratitis;capitata;
caparreta blanca de Florida;Ceroplastes;floridiensis;
caparreta de la higuera;Ceroplastes;rusci;
Caparretas blancas;Ceroplastes;sinensis;Del Guercio y otras
;Chaetanaphothrips;orchidii;
;Chelonus;insularis;
;Chelonus;texanus;
;Chilo;partellus;
;Chilocorus;bipustulatus;
;Chrisoperla;carnea;
piojo rojo de Florida;Chrysomphalus;aonidum;Lindinger
piojo rojo;Chrysomphalus;dyctiospermi;Morgan
;Chrysonotomyia;formosa;
;Chrysopa;venosa;
;Chrysopa;vulgaris;
;Chrysoperla;carnea;Stephens
;Circulifer;tenellus;
;Cirrospilus;vittatus;
;Citrostichus;phyllocnistoides;Narayan
;Clitostethus;arcuatus;
;Coccidophilus;citricola;Bretes
;Coccidoxenoides;spp.;
;Coccinella;septempunctata;
;Coccophagoides;utilis;
;Coccophagus;bivittatus;
;Coccophagus;gurneyi;
;Coccophagus;lycimnia;
;Coccophagus;ochraceus;
;Coccophagus;scutellaris;
;Coccophagus;vesuvianus;
cochinilla blanda de los cítricos;Coccus;hesperidium;
;Coccus;pseudomagnoliarum;Kuwana
;Coenosia;attenuata;
Oruga de la alfalfa;Colias;eurytheme;Boisduval
;Colomerus;vitis;
;Comperiella;bifasciata;Howard
;Conwentzia;barretii;
;Conwentzia;psociformis;
;Copidosoma;truncatellum;
Polilla de la harina de trigo y de arroz;Corcyra;geophalcnia;
;Cotesia;marginiventris;
;Cotesia;medicaginis;
;Cotesia;spp.;
barrenetas;Cryptoblabes;guinidiella;
;Cryptolaemus;montrouzieri;Muls
Polilla de la manzana;Cydia;pomonella;Linnaeus
;Dacnusa;sibirica;
;Dacnusa;spp.;
;Dalbulus;maidis;
;Delia;brassicae;
El cotonet de Les Valls;Delottococcus;aberiae;De Lotto
;Delottococcus;elisabethae;
;Delphastus;catalinae;
;Dereaocoris;spp.;
;Desm;graminis;Pers
Cucarrón de la hoja;Diabrotica;balteata;
;Diachasma;fullawayi;
;Diachasma;tryoni;
;Diadegma;insulare;
;Diaeretiella;rapae;
;Diaeretiella;spp.;
Mosca blanca;Dialeurodes;citri;(Ashmed)
Mosca blanca;Dialeurodes;setiger;(Goux)
;Diatraea;lineolata;
;Dibrotica;balteata;
Polilla  de  la  mazorca  del maíz;Dichomeris;gramnivora;
;Dicyphus;spp.;
;Dicyphus;tamaninii;Wagner
Minadores de hoja;Diglyphus;isaea;
;Diglyphus;minoeus;
;Diglyphus;spp.;
;Dikrella;cruentata;
;Dinarmus;basalis;
Gorgojo de galletas;Dinoderus;minutus;
;Diomus;pumilio;
cochinillas harinosas;Dismycoccus;grassil;
;Dyciphus;tamanini;
