esp1;modo;esp2
Acari;DEPRD;moscas blancas
Acletoxenus formosus;;moscas blancas
Aeolothrips;DEPRD;Trips varias
Ageniaspis citricota;PARAS;Phyllonistis citrella
Ageniaspis fuscicollis;PARAS;Prays oleae
Aleyroctonus;PARAS;moscas blancas
Ambliseius cucumeris ;DEPRD;Araña Roja
Ambliseius cucumeris ;DEPRD;Frankliniella occidentalis
Ambliseius cucumeris ;DEPRD;Thrips tabaci
Ambliseius swirski ;DEPRD;Araña Roja
Amblyseius;DEPRD;moscas blancas
Amblyseius barkeri;DEPRD;Trips
Amblyseius spp.;DEPRD;Frankliniella occidentalis
Amblyseius spp.;DEPRD;Heliothrips haemorrhoidalis
Amblyseius spp.;DEPRD;Thrips simplex
Amblyseius spp.;DEPRD;Thrips tabaci
Amblyseius swirskii;DEPRD;moscas blancas
Amitus;PARAS;moscas blancas
Amitus fuscipennis;PARAS;moscas blancas
Amitus fuscipennis;PARAS;moscas blancas
Amitus spiniferus;PARAS;Aleurothryxus floccosus
Amitus spiniferus;PARAS;moscas blancas
Amitus spiniferus;PARAS;moscas blancas
Anagyrus pseudococci;PARAS;Delottococcus aberiae
Anagyrus pseudococci;PARAS;Planococcus citri
Anagysrus pseudococci;DEPRD;Planococcus citri
Anthocoris spp.;DEPRD;Frankliniella occidentalis
Anthocoris spp.;DEPRD;Thrips tabaci
Aphelinidae;PARAS;moscas blancas
Aphelinus abdominalis;;Aphis gossypii
Aphelinus abdominalis;;Macrosiphum eurphorbiae
Aphelinus abdominalis;;Myzus persicae
Aphidius sp;PARAS;Pulgones
Aphidoletes aphidimyza;DEPRD;Pulgones
Aphobetus moundi;PARAS;moscas blancas
Aphytis chilensis;PARAS;Aspidiotus nerii
Aphytis chrysomphali;PARAS;Aonidiella aurantii
Aphytis chrysomphali;PARAS;Aspidiotus nerii
Aphytis chrysomphali;PARAS;Lepidosaphes beckii
Aphytis diaspidis;PARAS;Parlatoria pergandii
Aphytis hispanicus;PARAS;Aspidiotus nerii
Aphytis hispanicus;PARAS;Parlatoria pergandii
Aphytis lepidosaphes;PARAS;Lepidosaphes beckii
Aphytis lepidosaphes;PARAS;Lepidosaphes beckii
Aphytis lingnanensis;PARAS;Aonidiella aurantii
Aphytis lingnanensis;PARAS;Aonidiella aurantii
Aphytis maculicornis;PARAS;Parlatoria oleae
Aphytis masculicornis;PARAS;Lepidosaphes beckii
Aphytis melinus;PARAS;Aonidiella aurantii
Aphytis melinus;PARAS;Aonidiella aurantii
Aphytis melinus;PARAS;Aspidiotus nerii
Aphytis melinus;PARAS;Chrysomphalus dyctiospermi
Aphytis mytilaspidilis;PARAS;Lepidosaphes beckii
Aphytis mytilaspidis;PARAS;Lepidosaphes ulmi
Aphytis proclia;PARAS;Aspidiotus nerii
Aphytis proclia;PARAS;Lepidosaphes beckii
Aphytis proclia;PARAS;Quadraspidiotus perniciosus
Aprostocetus ceroplastae;PARAS;Ceroplastes sinensis
Calcídidos;PARAS;Plaga
Cales;PARAS;moscas blancas
Cales noacki;;Aleurothryxus floccosus
Cales noacki;PARAS;moscas blancas
Ceranisus spp.;PARAS;Frankliniella occidentalis
Ceranisus spp.;PARAS;Heliothrips haemorrhoidalis
Ceranisus spp.;PARAS;Hercinothrips femoralis
Ceranisus spp.;PARAS;Thrips meridionalis
Ceranisus spp.;PARAS;Thrips tabaci
Chalcidoidea;PARAS;moscas blancas
Chartocerus;PARAS;moscas blancas
Chelonus elaeaphilus;PARAS;Prays oleae
Chelonus oculator;PARAS;rosquillas negra y verde
Chilocorus bipustulatus;DEPRD;Aonidiella aurantii
Chilocorus bipustulatus;DEPRD;Aspidiotus nerii
Chilocorus bipustulatus;DEPRD;Lepidosaphes beckii
Chilocorus bipustulatus;DEPRD;Parlatoria pergandii
Chilocorus bipustulatus;DEPRD;Quadraspidiotus perniciosus
Chilocorus bipustulatus;DEPRD;Saissetia oleae
Chrisoperla carnea;DEPRD;Aonidiella aurantii
Chrysopa venosa;DEPRD;Planococcus citri
Chrysopa vulgaris;DEPRD;Planococcus citri
Chrysoperla carnea;DEPRD;gusanos grises
Chrysoperla carnea;;moscas blancas
Chrysoperla carnea;DEPRD;Prays oleae
Chrysoperla carnea;DEPRD;Pulgones
Chrysoperla carnea;DEPRD;rosquillas negra y verde
Chrysopidae;;moscas blancas
Citrostichus phyllocnistoides;PARAS;Phyllocnistis citrella
Citrostichus phyllocnistoides;PARAS;Phyllocnistis citrella
Citrostichus phyllocnistoides;PARAS;Phyllonistis citrella
Clitostethus arcuatus;;moscas blancas
Coccidencyrtus;PARAS;moscas blancas
Coccidophilus citricola;DEPRD;Aonidiella aurantii
Coccidoxenoides spp.;PARAS;Planococcus citri
Coccophagoides utilis;PARAS;Parlatoria oleae
Coccophagus bivittatus;PARAS;Coccus hesperidium
Coccophagus lycimnia;PARAS;Coccus hesperidium
Coccophagus ochraceus;PARAS;Coccus hesperidium
Coccophagus scutellaris;PARAS;Saissetia oleae
Coccophagus vesuvianus;PARAS;Coccus hesperidium
Coenosia attenuata;;moscas blancas
Coleoptera;DEPRD;moscas blancas
Coleoptera;PARAS;moscas blancas
Comperiella;PARAS;moscas blancas
Comperiella bifasciata;PARAS;Aonidiella aurantii
Comperiella bifasciata;PARAS;Chrysomphalus dyctiospermi
Coniopterygidae;;moscas blancas
Conwentzia psociformis;DEPRD;Aonidiella aurantii
Conwentzia psociformis;;moscas blancas
Cotesia sp;PARAS;rosquillas negra y verde
Cryptolaemus montrouzieri;;Planococcus citri
Cryptolaemus montrouzieri;PARAS;Planococcus citri
Cryptolaemus montrouzieri;DEPRD;Planococcus citri
Cryptolaemus montrouzieri;DEPRD;Pulvinaria floccifera
Dacnusa sibirica;PARAS;Liriomyza bryoniae
Dacnusa sibirica;PARAS;Liriomyza trifolii
Delphastus catalinae;;moscas blancas
Dereaocoris spp.;DEPRD;Frankliniella occidentalis
Dereaocoris spp.;DEPRD;Thrips tabaci
Diachasma fullawayi;PARAS;Ceratitis capitata
Diachasma tryoni;PARAS;Ceratitis capitata
Dicyphus spp.;DEPRD;Frankliniella occidentalis
Dicyphus spp.;DEPRD;Thrips tabaci
Dicyphus tamaninii;;moscas blancas
Diglphus isaea;PARAS;Liriomyza bryoniae
Diglphus isaea;PARAS;Liriomyza trifolii
Diglyphus isaea;PARAS;Minadores de hoja
Diptera;DEPRD;moscas blancas
Diptera;PARAS;moscas blancas
Dipteros;PARAS;Plaga
Drosophilidae;;moscas blancas
Dyciphus spp.;DEPRD;Frankliniella occidentalis
Elasmus flabellatus;PARAS;Prays oleae
Elasmus steffani;PARAS;Prays oleae
Encarsia;PARAS;moscas blancas
Encarsia acaudaleyrodis;PARAS;moscas blancas
Encarsia azimi;PARAS;moscas blancas
Encarsia citrina;PARAS;Aspidiotus nerii
Encarsia citrina;PARAS;Lepidosaphes beckii
Encarsia citrina;PARAS;Parlatoria pergandii
Encarsia dichroa;PARAS;moscas blancas
Encarsia formosa;PARAS;moscas blancas
Encarsia guadeloupae;PARAS;moscas blancas
Encarsia hispida;PARAS;moscas blancas
Encarsia inaron;PARAS;moscas blancas
Encarsia inquirenda;PARAS;Parlatoria pergandii
Encarsia lutea;PARAS;moscas blancas
Encarsia pergandiella;PARAS;moscas blancas
Encarsia perniciosi;PARAS;Aonidiella aurantii
Encarsia perniciosi;PARAS;Quadraspidiotus perniciosus
Encarsia perniciosi;PARAS;Quadraspidiotus perniciosus
Encarsia sophia;PARAS;moscas blancas
Encarsia sp;PARAS;Mosca blanca
Encarsia tricolor;PARAS;moscas blancas
Encyrtidae;PARAS;moscas blancas
Eretmocerus;PARAS;moscas blancas
Eretmocerus debachi;PARAS;Parabemisia myricae
Eretmocerus eremicus;PARAS;moscas blancas
Eretmocerus mundus;PARAS;moscas blancas
Eublema scitula;DEPRD;Ceroplastes sinensis
Eublema scitula;DEPRD;Coccus hesperidium
